id,key,value,type
247644099,created_by,JOSM,regular
247644113,created_by,JOSM,regular
247653125,created_by,JOSM,regular
247653139,created_by,JOSM,regular
247653160,created_by,JOSM,regular
247653221,created_by,JOSM,regular
247653236,created_by,JOSM,regular
247653257,created_by,JOSM,regular
247655243,created_by,JOSM,regular
247655260,created_by,JOSM,regular
247655336,created_by,JOSM,regular
247747906,created_by,JOSM,regular
247747930,created_by,JOSM,regular
247747949,created_by,JOSM,regular
247749722,created_by,JOSM,regular
247752800,created_by,JOSM,regular
247752829,created_by,JOSM,regular
247752924,created_by,JOSM,regular
247753853,created_by,JOSM,regular
247753868,created_by,JOSM,regular
248011091,created_by,JOSM,regular
248011107,created_by,JOSM,regular
248011135,created_by,JOSM,regular
248416516,created_by,JOSM,regular
248416578,created_by,JOSM,regular
248417262,created_by,JOSM,regular
248420624,created_by,JOSM,regular
248894463,created_by,JOSM,regular
248897234,created_by,JOSM,regular
248902936,created_by,JOSM,regular
249392309,created_by,JOSM,regular
249392396,created_by,JOSM,regular
249393286,created_by,JOSM,regular
249400361,created_by,JOSM,regular
249400462,created_by,JOSM,regular
249401368,created_by,JOSM,regular
249401588,created_by,JOSM,regular
249402376,created_by,JOSM,regular
249402402,created_by,JOSM,regular
249792104,created_by,JOSM,regular
249797248,created_by,JOSM,regular
249798881,created_by,JOSM,regular
249799923,created_by,JOSM,regular
249804210,created_by,JOSM,regular
250074070,created_by,JOSM,regular
250074219,created_by,JOSM,regular
250074284,created_by,JOSM,regular
250080530,created_by,JOSM,regular
250080665,created_by,JOSM,regular
250083839,created_by,JOSM,regular
250083866,created_by,JOSM,regular
250083956,created_by,JOSM,regular
250084001,created_by,JOSM,regular
250084049,created_by,JOSM,regular
250084099,created_by,JOSM,regular
250084171,created_by,JOSM,regular
250084213,created_by,JOSM,regular
250084266,created_by,JOSM,regular
250084492,created_by,JOSM,regular
250084540,created_by,JOSM,regular
250084654,created_by,JOSM,regular
250084695,created_by,JOSM,regular
250320364,created_by,JOSM,regular
250321301,created_by,JOSM,regular
250321385,created_by,JOSM,regular
250322866,created_by,JOSM,regular
250323104,created_by,JOSM,regular
250323207,created_by,JOSM,regular
250323295,created_by,JOSM,regular
250323390,created_by,JOSM,regular
250323452,created_by,JOSM,regular
250324122,created_by,JOSM,regular
250324174,created_by,JOSM,regular
250326966,created_by,JOSM,regular
250326998,created_by,JOSM,regular
